node1_name,node2_name,edge_type,properties,probability
churn,nv-b_103864,nil,,0.988023952095808
churn,nv-b_103864,ta,dd;nl,0.0119760479041916
churn,nv-b_104180,nil,,0.998003992015968
churn,nv-b_104180,ta,dd;nl,0.00199600798403194
churn,nv-churn,nil,,0.996007984031936
churn,nv-churn,ta,dd;nl,0.00399201596806387
churn,nv-code_dev,nil,,0.994011976047904
churn,nv-code_dev,ta,dd;nl,0.00598802395209581
churn,nv-start,nil,,0.958083832335329
churn,nv-start,ta,dd;nl,0.0379241516966068
churn,nv-start,at,dd;pl,0.00399201596806387
churn,nv-thread,nil,,0.998003992015968
churn,nv-thread,ta,dd;nl,0.00199600798403194
churn,nv-thread2,nil,,0.994011976047904
churn,nv-thread2,ta,dd;nl,0.00598802395209581
churn2,b_100433,nil,,0.998003992015968
churn2,b_100433,ta,dd;nl,0.00199600798403194
churn2,b_120027,nil,,0.994011976047904
churn2,b_120027,ta,dd;nl,0.00598802395209581
churn2,b_134353,nil,,0.998003992015968
churn2,b_134353,ta,dd;nl,0.00199600798403194
churn2,b_140076,nil,,0.998003992015968
churn2,b_140076,ta,dd;nl,0.00199600798403194
churn2,b_140221,nil,,0.998003992015968
churn2,b_140221,ta,dd;nl,0.00199600798403194
churn2,b_160702,nil,,0.998003992015968
churn2,b_160702,ta,dd;nl,0.00199600798403194
churn2,b_162107,nil,,0.994011976047904
churn2,b_162107,ta,dd;nl,0.00598802395209581
churn2,b_162108,nil,,0.996007984031936
churn2,b_162108,ta,dd;nl,0.00399201596806387
churn2,b_162180,nil,,0.994011976047904
churn2,b_162180,ta,pd;nl,0.00598802395209581
churn2,b_162181,nil,,0.998003992015968
churn2,b_162181,ta,dd;nl,0.00199600798403194
churn2,b_166302,nil,,0.996007984031936
churn2,b_166302,ta,dd;nl,0.00399201596806387
churn2,b_166303,nil,,0.998003992015968
churn2,b_166303,ta,dd;nl,0.00199600798403194
churn2,b_173733,nil,,0.994011976047904
churn2,b_173733,ta,dd;nl,0.00598802395209581
churn2,b_180732,nil,,0.994011976047904
churn2,b_180732,ta,dd;nl,0.00598802395209581
churn2,b_180735,nil,,0.998003992015968
churn2,b_180735,ta,dd;nl,0.00199600798403194
churn2,b_180737,nil,,0.996007984031936
churn2,b_180737,ta,dd;nl,0.00399201596806387
churn2,b_180739,nil,,0.99001996007984
churn2,b_180739,ta,pd;nl,0.00998003992015968
churn2,b_191547,nil,,0.998003992015968
churn2,b_191547,ta,pd;nl,0.00199600798403194
churn2,b_191549,nil,,0.996007984031936
churn2,b_191549,ta,dd;nl,0.00399201596806387
churn2,b_201967,nil,,0.998003992015968
churn2,b_201967,ta,dd;nl,0.00199600798403194
churn2,churn,ta,pd;nl,0.776447105788423
churn2,churn,at,pd;nl,0.223552894211577
churn2,commit2,ta,dd;nl,0.994011976047904
churn2,commit2,at,dd;nl,0.00399201596806387
churn2,commit2,tt,,0.00199600798403194
churn2,file2,ta,pd;nl,0.986027944111776
churn2,file2,at,dd;nl,0.0139720558882236
churn2,nv-code_dev,nil,,0.998003992015968
churn2,nv-code_dev,ta,dd;nl,0.00199600798403194
churn2,mail_dev2,nil,,0.696606786427146
churn2,mail_dev2,at,pd;nl,0.241516966067864
churn2,mail_dev2,ta,dd;nl,0.0598802395209581
churn2,mail_dev2,tt,,0.00199600798403194
churn2,nv-commit2,nil,,0.980039920159681
churn2,nv-commit2,ta,dd;nl,0.0179640718562874
churn2,nv-commit2,tt,,0.00199600798403194
churn2,nv-mail_dev,nil,,0.998003992015968
churn2,nv-mail_dev,ta,dd;nl,0.00199600798403194
churn2,nv-mis_link,nil,,0.998003992015968
churn2,nv-mis_link,ta,dd;nl,0.00199600798403194
churn2,nv-mis_link2,nil,,0.998003992015968
churn2,nv-mis_link2,ta,dd;nl,0.00199600798403194
churn2,nv-silence,nil,,0.99001996007984
churn2,nv-silence,ta,dd;nl,0.00598802395209581
churn2,nv-silence,tt,,0.00199600798403194
churn2,nv-silence,at,dd;pl,0.00199600798403194
churn2,silence,ta,pd;nl,0.654690618762475
churn2,silence,nil,,0.199600798403194
churn2,silence,at,pd;nl,0.145708582834331
churn2,silence2,nil,,0.646706586826347
churn2,silence2,ta,pd;nl,0.351297405189621
churn2,silence2,at,dd;nl,0.00199600798403194
code_dev,churn2,ta,pd;pl,0.479041916167665
code_dev,churn2,nil,,0.263473053892216
code_dev,churn2,at,pd;nl,0.241516966067864
code_dev,churn2,tt,,0.0159680638722555
churn2,thread2,nil,,0.892215568862276
churn2,thread2,at,pd;nl,0.0838323353293413
churn2,thread2,ta,pd;nl,0.0199600798403194
churn2,thread2,tt,,0.00399201596806387
code_dev,b_114577,nil,,0.992015968063872
code_dev,b_114577,ta,dd;nl,0.00399201596806387
code_dev,b_114577,tt,,0.00399201596806387
code_dev,b_140224,nil,,0.996007984031936
code_dev,b_140224,tt,,0.00199600798403194
code_dev,b_140224,at,dd;pl,0.00199600798403194
code_dev,b_143470,nil,,0.998003992015968
code_dev,b_143470,ta,dd;nl,0.00199600798403194
code_dev,b_143506,nil,,0.998003992015968
code_dev,b_143506,tt,,0.00199600798403194
code_dev,b_143507,nil,,0.996007984031936
code_dev,b_143507,ta,dd;nl,0.00199600798403194
code_dev,b_143507,at,dd;pl,0.00199600798403194
code_dev,b_162107,nil,,0.972055888223553
code_dev,b_162107,at,dd;nl,0.0199600798403194
code_dev,b_162107,ta,pd;pl,0.00798403193612774
code_dev,b_162176,nil,,0.998003992015968
code_dev,b_162176,ta,dd;nl,0.00199600798403194
code_dev,b_162178,nil,,0.998003992015968
code_dev,b_162178,ta,dd;nl,0.00199600798403194
code_dev,b_162179,nil,,0.996007984031936
code_dev,b_162179,ta,dd;nl,0.00199600798403194
code_dev,b_162179,tt,,0.00199600798403194
code_dev,b_162181,nil,,0.998003992015968
code_dev,b_162181,ta,dd;nl,0.00199600798403194
code_dev,b_162182,nil,,0.998003992015968
code_dev,b_162182,ta,dd;nl,0.00199600798403194
code_dev,b_166302,nil,,0.998003992015968
code_dev,b_166302,ta,dd;nl,0.00199600798403194
code_dev,b_166303,nil,,0.998003992015968
code_dev,b_166303,tt,,0.00199600798403194
code_dev,b_173731,nil,,0.998003992015968
